LOCATION,TOTAL CASES,DEATHS,POPULATION
Absecon,141,16,"8,442"
Atlantic City,224,7,"37,804"
Brigantine,20,1,"8,765"
Buena Borough,35,1,"4,347"
Buena Vista,25,1,"7,299"
Corbin City,1,0,493
Egg Harbor City,30,0,"4,104"
Egg Harbor Twp.,228,17,"42,578"
Estell Manor,7,0,"1,720"
Folsom,11,0,"1,792"
Galloway,226,17,"35,967"
Hamilton,138,3,"25,768"
Hammonton,305,37,"14,085"
Linwood,61,8,"6,740"
Longport,2,0,858
Margate,19,0,"5,959"
Mullica,23,1,"5,924"
Northfield,93,10,"8,212"
Pleasantville,198,8,"20,376"
Port Republic,4,0,"1,058"
Somers Point,38,0,"10,285"
Ventnor,43,1,"10,039"
Weymouth,10,0,"2,814"
TOTAL,"1,882",128,"265,429"
