LOCATION,TOTAL CASES,DEATHS,POPULATION
Allamuchy,24,NA,"4,640"
Alpha,15,NA,"2,273"
Belvidere,22,NA,"2,576"
Blairstown,19,NA,"5,728"
Franklin Twp,15,NA,"3,046"
Freylinghuysen,84,NA,"2,178"
Greenwich,55,NA,"5,474"
Hackettstown,115,NA,"9,463"
Hardwick,12,NA,"1,631"
Harmony,14,NA,"2,486"
Hope,16,NA,"1,876"
Independence,27,NA,"5,444"
Knowlton,10,NA,"2,945"
Liberty,14,NA,"2,820"
Lopatcong,266,NA,"8,322"
Mansfield,113,NA,"7,384"
Oxford,6,NA,"2,433"
Phillipsburg,125,NA,"14,303"
Pohatcong,20,NA,"3,197"
Washington Boro,50,NA,"6,452"
Washington Twp,40,NA,"6,421"
White Twp,51,NA,"4,687"
TOTAL,"1,093",123,"105,779"
