month,day,year,town,county,cases
5,15,2020,Absecon,Atlantic,127
5,15,2020,Atlantic City,Atlantic,177
5,15,2020,Brigantine,Atlantic,19
5,15,2020,Buena Borough,Atlantic,31
5,15,2020,Buena Vista Township,Atlantic,25
5,15,2020,Corbin City,Atlantic,1
5,15,2020,Egg Harbor City,Atlantic,22
5,15,2020,Egg Harbor Township,Atlantic,206
5,15,2020,Estell Manor,Atlantic,7
5,15,2020,Folsom,Atlantic,10
5,15,2020,Galloway,Atlantic,204
5,15,2020,Hamilton,Atlantic,118
5,15,2020,Hammonton,Atlantic,271
5,15,2020,Linwood,Atlantic,58
5,15,2020,Longport,Atlantic,2
5,15,2020,Margate,Atlantic,16
5,15,2020,Mullica,Atlantic,19
5,15,2020,Northfield,Atlantic,77
5,15,2020,Pleasantville,Atlantic,149
5,15,2020,Port Republic,Atlantic,3
5,15,2020,Somers Point,Atlantic,34
5,15,2020,Ventnor,Atlantic,34
5,15,2020,Weymouth,Atlantic,10
5,15,2020,Allendale,Bergen,60
5,15,2020,Alpine,Bergen,22
5,15,2020,Bergenfield,Bergen,751
5,15,2020,Bogota,Bergen,157
5,15,2020,Carlstadt,Bergen,96
5,15,2020,Cliffside Park,Bergen,466
5,15,2020,Closter,Bergen,78
5,15,2020,Cresskill,Bergen,107
5,15,2020,Demarest,Bergen,46
5,15,2020,Dumont,Bergen,290
5,15,2020,East Rutherford,Bergen,130
5,15,2020,Edgewater,Bergen,126
5,15,2020,Elmwood Park,Bergen,511
5,15,2020,Emerson,Bergen,203
5,15,2020,Englewood,Bergen,734
5,15,2020,Englewood Cliffs,Bergen,54
5,15,2020,Fair Lawn,Bergen,584
5,15,2020,Fairview,Bergen,344
5,15,2020,Fort Lee,Bergen,432
5,15,2020,Franklin Lakes,Bergen,145
5,15,2020,Garfield,Bergen,743
5,15,2020,Glen Rock,Bergen,115
5,15,2020,Hackensack,Bergen,1233
5,15,2020,Harrington Park,Bergen,28
5,15,2020,Hasbrouck Heights,Bergen,194
5,15,2020,Haworth,Bergen,35
5,15,2020,Hillsdale,Bergen,111
5,15,2020,Ho-Ho-Kus,Bergen,44
5,15,2020,Leonia,Bergen,106
5,15,2020,Little Ferry,Bergen,188
5,15,2020,Lodi,Bergen,632
5,15,2020,Lyndhurst,Bergen,364
5,15,2020,Mahwah,Bergen,254
5,15,2020,Maywood,Bergen,222
5,15,2020,Midland Park,Bergen,84
5,15,2020,Montvale,Bergen,74
5,15,2020,Moonachie,Bergen,66
5,15,2020,New Milford,Bergen,420
5,15,2020,North Arlington,Bergen,257
5,15,2020,Northvale,Bergen,57
5,15,2020,Norwood,Bergen,69
5,15,2020,Oakland,Bergen,214
5,15,2020,Old Tappan,Bergen,62
5,15,2020,Oradell,Bergen,175
5,15,2020,Palisades Park,Bergen,239
5,15,2020,Paramus,Bergen,943
5,15,2020,Park Ridge,Bergen,152
5,15,2020,Ramsey,Bergen,125
5,15,2020,Ridgefield,Bergen,184
5,15,2020,Ridgefield Park,Bergen,258
