"month","day","year","town","county","cases"
"05","22","2020","Absecon","Atlantic","141"
"05","22","2020","Atlantic City","Atlantic","224"
"05","22","2020","Brigantine","Atlantic","20"
"05","22","2020","Buena Borough","Atlantic","35"
"05","22","2020","Buena Vista Township","Atlantic","25"
"05","22","2020","Corbin City","Atlantic","1"
"05","22","2020","Egg Harbor City","Atlantic","30"
"05","22","2020","Egg Harbor Township","Atlantic","228"
"05","22","2020","Estell Manor","Atlantic","7"
"05","22","2020","Folsom","Atlantic","11"
"05","22","2020","Galloway","Atlantic","226"
"05","22","2020","Hamilton","Atlantic","138"
"05","22","2020","Hammonton","Atlantic","305"
"05","22","2020","Linwood","Atlantic","61"
"05","22","2020","Longport","Atlantic","2"
"05","22","2020","Margate","Atlantic","19"
"05","22","2020","Mullica","Atlantic","23"
"05","22","2020","Northfield","Atlantic","93"
"05","22","2020","Pleasantville","Atlantic","198"
"05","22","2020","Port Republic","Atlantic","4"
"05","22","2020","Somers Point","Atlantic","38"
"05","22","2020","Ventnor","Atlantic","43"
"05","22","2020","Weymouth","Atlantic","10"
"05","22","2020","Allendale","Bergen","63"
"05","22","2020","Alpine","Bergen","22"
"05","22","2020","Bergenfield","Bergen","790"
"05","22","2020","Bogota","Bergen","169"
"05","22","2020","Carlstadt","Bergen","96"
"05","22","2020","Cliffside Park","Bergen","474"
"05","22","2020","Closter","Bergen","80"
"05","22","2020","Cresskill","Bergen","107"
"05","22","2020","Demarest","Bergen","47"
"05","22","2020","Dumont","Bergen","294"
"05","22","2020","East Rutherford","Bergen","137"
"05","22","2020","Edgewater","Bergen","128"
"05","22","2020","Elmwood Park","Bergen","515"
"05","22","2020","Emerson","Bergen","211"
"05","22","2020","Englewood","Bergen","746"
"05","22","2020","Englewood Cliffs","Bergen","55"
"05","22","2020","Fair Lawn","Bergen","591"
"05","22","2020","Fairview","Bergen","358"
"05","22","2020","Fort Lee","Bergen","448"
"05","22","2020","Franklin Lakes","Bergen","147"
"05","22","2020","Garfield","Bergen","763"
"05","22","2020","Glen Rock","Bergen","116"
"05","22","2020","Hackensack","Bergen","1258"
"05","22","2020","Harrington Park","Bergen","28"
"05","22","2020","Hasbrouck Heights","Bergen","199"
"05","22","2020","Haworth","Bergen","38"
"05","22","2020","Hillsdale","Bergen","117"
"05","22","2020","Ho-Ho-Kus","Bergen","44"
"05","22","2020","Leonia","Bergen","106"
"05","22","2020","Little Ferry","Bergen","191"
"05","22","2020","Lodi","Bergen","646"
"05","22","2020","Lyndhurst","Bergen","373"
"05","22","2020","Mahwah","Bergen","259"
"05","22","2020","Maywood","Bergen","220"
"05","22","2020","Midland Park","Bergen","84"
"05","22","2020","Montvale","Bergen","76"
"05","22","2020","Moonachie","Bergen","68"
"05","22","2020","New Milford","Bergen","433"
"05","22","2020","North Arlington","Bergen","271"
